Year,Temp,CO2,CH4,NO2,Irradiance,Nino_SST,Volcano
1861,-0.411,286.5,838.2,288.9,1361.0967,26.7423333352,0.00281
1862,-0.518,286.6,839.6,288.9,1360.9872,26.3942648515,0.00859
1863,-0.315,286.8,840.9,289.0,1360.8369,26.1601262863,0.01318
1864,-0.491,287.0,842.3,289.1,1360.7532,26.2877367605,0.00707
1865,-0.296,287.2,843.8,289.1,1360.6909,26.3237407233,0.00302
1866,-0.295,287.4,845.5,289.2,1360.6004,26.3121837778,0.00128
1867,-0.315,287.6,847.1,289.3,1360.5368,26.2418202105,5.42E-04
1868,-0.268,287.8,848.6,289.3,1360.4846,26.1897228394,2.50E-04
1869,-0.287,288.0,850.2,289.4,1360.6443,26.2899815662,3.58E-04
1870,-0.282,288.2,851.8,289.5,1360.8806,26.3308352004,6.58E-04
1871,-0.335,288.4,853.4,289.5,1361.1193,26.4850897103,5.67E-04
1872,-0.277,288.7,855.1,289.6,1361.0592,26.0058041161,7.92E-04
1873,-0.335,288.9,856.9,289.7,1361.0125,25.9803590598,0.0023
1874,-0.377,289.1,858.8,289.7,1360.8115,25.7213351934,0.00273
1875,-0.406,289.4,860.5,289.8,1360.6831,26.1934064992,0.00128
1876,-0.372,289.7,862.3,289.9,1360.5344,26.5576694117,0.00352
1877,-0.127,289.9,864.0,290.0,1360.4842,26.8042970493,0.00639
1878,-0.014,290.2,865.8,290.0,1360.4845,26.6409468431,0.00414
1879,-0.258,290.5,867.6,290.1,1360.4558,26.143867266,0.00248
1880,-0.247,290.8,869.4,290.2,1360.4782,26.3406429895,0.00154
1881,-0.251,291.1,871.2,290.3,1360.6249,26.817463008,8.50E-04
1882,-0.256,291.4,872.9,290.3,1360.7692,26.2101014886,6.00E-04
1883,-0.308,291.7,874.7,290.4,1360.7925,26.5820443219,0.01435
1884,-0.373,292.0,876.5,290.5,1360.8396,26.9512409847,0.11164
1885,-0.363,292.3,878.3,290.6,1360.7415,27.0242384575,0.10372
1886,-0.289,292.6,880.0,290.7,1360.6319,25.8520650343,0.03952
1887,-0.374,292.9,881.8,290.8,1360.4666,26.2402324726,0.04329
1888,-0.34,293.1,883.6,290.8,1360.4231,27.8600175745,0.024
1889,-0.223,293.4,885.4,290.9,1360.3877,26.9029385093,0.03
1890,-0.423,293.7,887.2,291.0,1360.3593,25.9899239441,0.03222
1891,-0.386,294.0,888.9,291.1,1360.3939,26.819495719,0.03658
1892,-0.481,294.3,890.6,291.2,1360.6453,25.9411454193,0.0237
1893,-0.503,294.6,892.2,291.3,1360.7439,25.5936884203,0.01549
1894,-0.436,294.9,893.9,291.4,1360.8849,25.9966506998,0.00577
1895,-0.418,295.2,895.6,291.4,1360.9802,26.7848265008,0.00219
1896,-0.239,295.5,897.2,291.5,1360.8639,27.5236923379,0.00676
1897,-0.26,295.8,898.9,291.6,1360.683,26.9587330191,0.01987
1898,-0.402,296.1,900.5,291.7,1360.5375,26.1963636081,0.01657
1899,-0.322,296.4,902.2,291.8,1360.5148,27.1559076582,0.00742
1900,-0.254,296.7,903.8,291.9,1360.463,27.4501079474,0.00282
1901,-0.317,297.0,905.5,292.0,1360.4323,26.6624724118,0.00112
1902,-0.429,297.3,907.2,292.1,1360.3541,27.7575971486,0.00398
1903,-0.496,297.6,908.8,292.2,1360.3627,26.7297297723,0.05576
1904,-0.539,297.9,910.5,292.3,1360.5728,26.7520188418,0.05192
1905,-0.425,298.2,912.1,292.4,1360.8429,28.0276997094,0.0198
